"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,accessible,is_dynamic,emails_found,emails,check_status,scraped_content_length,ai_summary_status,business_type,services,owner_name,personalization_hooks,target_market,pain_points,ai_error
One Hour Air Conditioning & Heating,4.8,3100,2535 Brennan Ave,Fort Worth,Texas,US,https://www.onehourairftworth.com/?utm_source=organic&utm_medium=gbp,(817) 766-5706,HVAC contractor,https://www.google.com/maps/search/?api=1&query=One%20Hour%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJp-CLd_nhTYYRN-AndhiVWlY,Yes,No,1,customerservice@onehourair.com,success,6087,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
K&S Heating and Air,4.6,571,1409 S Jupiter Rd,Garland,Texas,US,http://www.kandsac.com/,(972) 942-8078,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=K%26S%20Heating%20and%20Air&query_place_id=ChIJrRm3caCgToYRc9_oA1xCX58,Yes,No,1,accounting@kandsac.com,success,4366,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Air Repair Pros,4.9,4453,1647 Witt Rd #201,Frisco,Texas,US,https://airrepairpros.com/?category=gmb&utm_campaign=gmb,(972) 630-4227,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Air%20Repair%20Pros&query_place_id=ChIJyWxK4007TIYRMjuW9qHGhTI,Yes,No,0,,success,1428,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Texan Heating and Air,4.9,374,5608 Malvey Ave Suite 202,Fort Worth,Texas,US,https://www.texanhvac.com/,(817) 734-3073,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Texan%20Heating%20and%20Air&query_place_id=ChIJGTvEO_J1ToYRgQopCUGuwu0,Yes,No,1,service@texanhvac.com,success,5038,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Amarillo Air Conditioning LLC,5,556,1001 N Forest St Unit E,Amarillo,Texas,US,https://www.amarilloair.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(806) 515-2919,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Amarillo%20Air%20Conditioning%20LLC&query_place_id=ChIJpWzLhkVOAYcRunj3WNOo5jM,Yes,No,0,,success,15000,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
KINGS LAWN SERVICE LLC,4.4,48,6009 Canyon Dr,Amarillo,Texas,US,https://kingslawnamarillo.com/,(806) 567-4028,Landscaper,https://www.google.com/maps/search/?api=1&query=KINGS%20LAWN%20SERVICE%20LLC&query_place_id=ChIJZSIO8JvIB0sRz7QeQQyelOo,Yes,No,0,,success,15000,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Kelly's Heating and Air,4.8,194,320 S Charles St #113,Lewisville,Texas,US,https://kellysheatingandair.com/hvac-in-lewisville-tx/,(972) 436-4340,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Kelly's%20Heating%20and%20Air&query_place_id=ChIJz0bSVYwyTIYRTtJCvQddMJE,Yes,No,2,info@kellysheatingandair.com; hotline@kellysheatingandair.com,success,6240,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Hall's Heating and Air,5,40,6011 SW 45th Ave #4,Amarillo,Texas,US,https://hallheatingandair.net/,(806) 405-8884,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Hall's%20Heating%20and%20Air&query_place_id=ChIJxWaxeX1RAYcRr196Dc34w58,Yes,No,0,,success,7585,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Samm's Heating and Air Conditioning,4.9,1425,250 Chisholm Pl,Plano,Texas,US,https://www.sammsheatingandair.com/,(214) 251-4438,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Samm's%20Heating%20and%20Air%20Conditioning&query_place_id=ChIJ__N8dw8ZTIYRRt4hH8JPzY8,Yes,No,0,,success,10731,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"Patrick heating & air conditioning, inc.",3.7,52,1602 S Monroe St,Amarillo,Texas,US,http://www.patrickcompanies.com/,(806) 374-0407,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Patrick%20heating%20%26%20air%20conditioning%2C%20inc.&query_place_id=ChIJMyDoT6pPAYcRlkIK-reoATA,Yes,No,0,,success,1308,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Larry's Heating & Air,4.3,59,14310 FM 2590,Amarillo,Texas,US,https://larrysamarillo.com/?utm_source=google&utm_medium=gmb,(806) 383-1956,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Larry's%20Heating%20%26%20Air&query_place_id=ChIJyWza6aJPAYcRNDMr98oJCW0,Yes,No,0,,success,10600,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
NewRise Heating & Cooling,4.9,347,1003 Enterprise Pl #101,Arlington,Texas,US,https://newrisehvac.com/,(469) 579-9110,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=NewRise%20Heating%20%26%20Cooling&query_place_id=ChIJAQAEC3piToYRZFJoTY7IHJs,Yes,No,1,support@newrisehvac.com,success,4047,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"Willard Cooling, Heating, Plumbing, & Electrical (Max Air And Plumbing – Max Mechanical)",4.9,3326,2313 Michigan Ct,Arlington,Texas,US,https://willardac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*144*willard-cooling-arlington,(817) 674-7522,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Willard%20Cooling%2C%20Heating%2C%20Plumbing%2C%20%26%20Electrical%20(Max%20Air%20And%20Plumbing%20%E2%80%93%20Max%20Mechanical)&query_place_id=ChIJH1aL_cd8ToYRY0cbOjgLh_o,Yes,No,2,info@willardac.com; callcenter@willardac.com,success,13329,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Boone's Heating and Cooling,4.9,817,3372 Garden Brook Dr,Farmers Branch,Texas,US,https://willardac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*52*boones-heating-cooling-farmers-branch,(972) 646-1824,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Boone's%20Heating%20and%20Cooling&query_place_id=ChIJA9Ndet8nTIYRuxsyKUCKBSs,Yes,No,2,info@willardac.com; callcenter@willardac.com,success,13329,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Serveway Heating and Air Conditioning,4.9,365,10120 Cayuga Dr Suite 107,Dallas,Texas,US,https://www.servewayhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(469) 231-9379,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Serveway%20Heating%20and%20Air%20Conditioning&query_place_id=ChIJx4C5x0OhToYRjJs7BQD4Mvc,Yes,No,0,,success,2099,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Ellis Air Conditioning and Heating,4.9,181,536 N Hwy 67,Cedar Hill,Texas,US,https://www.ellisac.com/,(972) 291-9316,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Ellis%20Air%20Conditioning%20and%20Heating&query_place_id=ChIJb_EfJeyNToYR9R20ccVix7s,Yes,No,1,aaron@ellisac.com,success,5161,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"AryCo HVAC, Electric, & Plumbing",4.9,1298,1721 N Business 287,Decatur,Texas,US,https://www.aryco.com/,(940) 627-5882,HVAC contractor,https://www.google.com/maps/search/?api=1&query=AryCo%20HVAC%2C%20Electric%2C%20%26%20Plumbing&query_place_id=ChIJy3SUYuySTYYRQfo0TOEmVjk,Yes,No,0,,success,3437,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
1st Class Heat & Air,4.7,453,2712 S Rigsbee Dr #5,Plano,Texas,US,https://1stclassairservice.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(972) 895-7278,HVAC contractor,https://www.google.com/maps/search/?api=1&query=1st%20Class%20Heat%20%26%20Air&query_place_id=ChIJr-jpTmgZTIYRXeuFBGR31iE,Yes,No,0,,success,7566,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mid-Cities Air Conditioning and Heating,4.8,649,204 S Main St Ste 240,Keller,Texas,US,https://www.midcitiesac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(817) 284-3332,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Mid-Cities%20Air%20Conditioning%20and%20Heating&query_place_id=ChIJDWTbYEwrTIYRwARgxxUtArc,Yes,No,0,,success,6545,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Dallas Heating and Air Conditioning,4.8,205,5050 Quorum Dr Ste 700,Dallas,Texas,US,https://www.dallasheatingac.com/?utm_source=GMB&utm_medium=Website&utm_campaign=Addison,(214) 831-8061,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Dallas%20Heating%20and%20Air%20Conditioning&query_place_id=ChIJd7VVVu8hTIYRzxc4WSeppGM,Yes,No,0,,success,3480,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Sutton Heating and Air,4.9,115,508 Crockett St,Amarillo,Texas,US,https://www.suttonheatingandair.com/,(806) 331-2584,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Sutton%20Heating%20and%20Air&query_place_id=ChIJA53JiU9OAYcRnzIaIlFD97o,Yes,No,0,,success,13286,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Bill Joplin's Air Conditioning & Heating,4.9,3452,301 E Midway St,McKinney,Texas,US,https://joplins.net/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(469) 846-8339,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Bill%20Joplin's%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJ41cSPE4STIYRG80tt1EuEOY,Yes,No,0,,success,10688,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Collin Air Conditioning,4.9,411,6905 K Ave #201,Plano,Texas,US,https://collinair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(972) 424-4905,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Collin%20Air%20Conditioning&query_place_id=ChIJeXiETN0ZTIYRz62ClnBNy3A,Yes,No,0,,success,4016,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Hardwick Heating and Air,5,58,5000 S Western St,Amarillo,Texas,US,http://hardwickheatingair.com/,(806) 471-0103,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Hardwick%20Heating%20and%20Air&query_place_id=ChIJXSYrTGg6zkwRQuBc11jazMY,Yes,No,0,,success,1179,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"Goode Brothers Heating & Air Conditioning, Inc.",4.9,1803,8812 US-259,Longview,Texas,US,https://www.goodebrothers.com/?utm_source=Google+Business+Listing+&utm_medium=organic+&utm_campaign=website+button,(903) 291-0608,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Goode%20Brothers%20Heating%20%26%20Air%20Conditioning%2C%20Inc.&query_place_id=ChIJkcghcO08NoYRPSDd0gFEupE,Yes,No,1,contact@goodebrothers.com,success,6125,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
A/C Contractors,4.9,1238,3830 Gilmer Rd,Longview,Texas,US,https://www.accontractors.com/,(903) 759-4250,HVAC contractor,https://www.google.com/maps/search/?api=1&query=A%2FC%20Contractors&query_place_id=ChIJtRdu1rw-NoYR7fQYYlurwWI,Yes,No,0,,success,6450,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
North Texas HVAC,4.9,315,,,,,http://www.northtxhvac.com/?utm_campaign=gmb,(817) 522-1219,HVAC contractor,https://www.google.com/maps/search/?api=1&query=North%20Texas%20HVAC&query_place_id=ChIJYfydBATbTYYRuo-lJqFe-yY,Yes,No,1,bryan@northtxhvac.com,success,7595,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
J.R.V Heating & Cooling LLC.,4.9,213,720 E Main St A,Allen,Texas,US,http://www.jrvair.com/,(214) 288-5984,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=J.R.V%20Heating%20%26%20Cooling%20LLC.&query_place_id=ChIJzaCHGvoQTIYR0wg1HPmyFR4,Yes,No,3,servicenow@jrvair.com; vigilr@jrvair.com; servicesservicenow@jrvair.com,success,1068,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Service Experts Fort Worth,4.8,4946,2725 Basswood Blvd Suite #241,Fort Worth,Texas,US,https://www.serviceexperts.com/fort-worth-tx/,(817) 241-5893,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Service%20Experts%20Fort%20Worth&query_place_id=ChIJFYtJpRN5ToYRBZxn9XqNk6w,Yes,No,0,,success,15000,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Crow's Heat & Air- McKinney,4.9,379,1132 Westmoreland Dr,McKinney,Texas,US,http://crowsheatandair.com/,(972) 548-1323,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Crow's%20Heat%20%26%20Air-%20McKinney&query_place_id=ChIJzXUBqyYSTIYRc9DJAQVGZOI,Yes,No,0,,success,4373,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Chill Out Heat Air & Refrigeration,4.6,41,5206 Tradewind St,Amarillo,Texas,US,http://chilloutheatair.com/,(806) 517-2094,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Chill%20Out%20Heat%20Air%20%26%20Refrigeration&query_place_id=ChIJx539QX5FAYcRayne2ieVrxo,Yes,No,1,bochillout@gmail.com,success,1796,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Bennett Heating and Air Conditioning,5,19,600 S Broadway St,Plainview,Texas,US,http://bennettheatandair.com/contact-us/,(806) 293-7285,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Bennett%20Heating%20and%20Air%20Conditioning&query_place_id=ChIJNXg5zn7CAYcRM9Ppw1zKrj4,Yes,No,0,,success,256,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Garland Heating & Air Conditioning,4.7,617,2113 S Garland Ave,Garland,Texas,US,https://www.garlandheatingandair.com/,(972) 278-3500,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Garland%20Heating%20%26%20Air%20Conditioning&query_place_id=ChIJ32KqxFqnToYRupQUcIZaGQI,Yes,No,1,info@garlandheatingandair.com,success,6272,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
James Lane Air Conditioning & Plumbing - A Fidelity Company,4.8,389,5024 Old Jacksboro Hwy,Wichita Falls,Texas,US,http://www.jameslane.com/,(940) 766-0244,HVAC contractor,https://www.google.com/maps/search/?api=1&query=James%20Lane%20Air%20Conditioning%20%26%20Plumbing%20-%20A%20Fidelity%20Company&query_place_id=ChIJy32m5_kfU4YRIe00YVttY8Y,Yes,No,0,,success,4896,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
A & T Yard Service Inc,4,9,1305 S Hobart St,Pampa,Texas,US,,,Landscaper,https://www.google.com/maps/search/?api=1&query=A%20%26%20T%20Yard%20Service%20Inc&query_place_id=ChIJ--_mCddJB4cRYxcEShxuGHY,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Pro Lawn,4.5,2,4310 Wilbarger St,Vernon,Texas,US,,,Landscaper,https://www.google.com/maps/search/?api=1&query=Pro%20Lawn&query_place_id=ChIJG43x8NKsVIYRr78K2UC2hjo,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
"Texas Panda Heating and Air, LLC",5,1,,,,,,(806) 930-0461,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Texas%20Panda%20Heating%20and%20Air%2C%20LLC&query_place_id=ChIJmZ8-8hQ3JS0Rn3VXMTD5z20,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Halligan Tree and Landscape service,5,27,#4406,Amarillo,Texas,US,,(806) 477-9133,Lawn care service,https://www.google.com/maps/search/?api=1&query=Halligan%20Tree%20and%20Landscape%20service&query_place_id=ChIJ_9LQbYNFAYcRo2pXz3bUHdc,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Claborn Heating & Air Inc,5,2,1803 Tejas Trail,Dalhart,Texas,US,,(806) 333-5857,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Claborn%20Heating%20%26%20Air%20Inc&query_place_id=ChIJjSPXYqK2BYcRdynDqFMVWcY,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Golden Standard Landscaping,4.7,12,3860 Business Park Dr,Amarillo,Texas,US,,(806) 662-1963,Landscaper,https://www.google.com/maps/search/?api=1&query=Golden%20Standard%20Landscaping&query_place_id=ChIJ6YES3E9FAYcRrLBUMYbXD7g,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
W J's Heating & Air Conditioning,4.7,11,414 Liberal St,Dalhart,Texas,US,,(806) 249-6216,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=W%20J's%20Heating%20%26%20Air%20Conditioning&query_place_id=ChIJrb3Ffc-2BYcRNn9ink3cM3w,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
360 Heat & Air,3.4,9,1705 E 1st St,Dalhart,Texas,US,,(806) 244-1730,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=360%20Heat%20%26%20Air&query_place_id=ChIJU_F2hem2BYcRb8r13WhFjNw,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
360 Heat & Air,,0,107 N Jefferson St,Dalhart,Texas,US,,(806) 249-1730,HVAC contractor,https://www.google.com/maps/search/?api=1&query=360%20Heat%20%26%20Air&query_place_id=ChIJxQi8azC3BYcR-SBMv0x4Yic,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
KDM Performance,4.7,35,215 Liberal St,Dalhart,Texas,US,,(806) 244-0150,Mechanic,https://www.google.com/maps/search/?api=1&query=KDM%20Performance&query_place_id=ChIJlSCQozWxBYcRLaKgrq_dFF8,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Dalhart Truck and Trailer service,5,44,705 N Jefferson St,Dalhart,Texas,US,,(806) 333-1555,Truck repair shop,https://www.google.com/maps/search/?api=1&query=Dalhart%20Truck%20and%20Trailer%20service&query_place_id=ChIJr6uq-LW3BYcRI5beggaJmB4,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Wright's Classics,4.8,40,1212 US-87,Dalhart,Texas,US,,(806) 244-2886,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Wright's%20Classics&query_place_id=ChIJMa6y2Mu2BYcRkfiJHTJLlLU,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
JRP Trees and Landscaping,5,1,618 N Davis St,Pampa,Texas,US,http://www.facebook.com/JRPTreeandLandscaping/,(806) 376-3367,Lawn care service,https://www.google.com/maps/search/?api=1&query=JRP%20Trees%20and%20Landscaping&query_place_id=ChIJZbE4fSk2B4cR3oITK6lIUNQ,No,No,0,,error_400,,skipped_not_accessible,,,,,,,
The Grounds Guys of Amarillo,4.8,40,8501 SW 81st Ave Building C,Amarillo,Texas,US,https://www.groundsguys.com/amarillo/?cid=LSTL_GUY000204&utm_source=gmb&utm_campaign=local&utm_medium=organic,(806) 350-5296,Landscaper,https://www.google.com/maps/search/?api=1&query=The%20Grounds%20Guys%20of%20Amarillo&query_place_id=ChIJRcgEveoCpEMRpPwlzDc1PIU,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Texas Tree and Lawn,4.8,13,3414 S Hill St,Amarillo,Texas,US,,(806) 420-6489,Landscaper,https://www.google.com/maps/search/?api=1&query=Texas%20Tree%20and%20Lawn&query_place_id=ChIJ0_ZT0rNIAYcR8WNy79X-hec,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Tope's Tree Trimming & Landscaping,4.9,105,4304 Gables St,Amarillo,Texas,US,,(806) 683-4654,Tree service,https://www.google.com/maps/search/?api=1&query=Tope's%20Tree%20Trimming%20%26%20Landscaping&query_place_id=ChIJ_____w9QAYcRQoTEkuYTfRs,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Northrup Landscape Essentials,4.2,5,3513 S Rusk St #4831,Amarillo,Texas,US,,(806) 353-9504,Landscape designer,https://www.google.com/maps/search/?api=1&query=Northrup%20Landscape%20Essentials&query_place_id=ChIJITn9TJRPAYcR2WK-c2AePPc,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Wild Coyote Country Store,4.8,16,1200 Rock Island Ave,Channing,Texas,US,https://wildcoyotecountrystore.com/,(806) 884-0115,Auto repair shop,https://www.google.com/maps/search/?api=1&query=Wild%20Coyote%20Country%20Store&query_place_id=ChIJH7WJx1g9BIcR8nBFBxSA0-Q,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Story Service & Repair LLC,5,3,201 E Meek St,Texline,Texas,US,,(806) 421-6197,Mechanic,https://www.google.com/maps/search/?api=1&query=Story%20Service%20%26%20Repair%20LLC&query_place_id=ChIJI-8EAaNvBYcRNaFyDyDsnoo,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Rethink Diagnostics LLC,5,2,345 Evans Ln,Texline,Texas,US,,,Auto repair shop,https://www.google.com/maps/search/?api=1&query=Rethink%20Diagnostics%20LLC&query_place_id=ChIJT1aTZilvBYcRkh9h8O9lBe4,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Mendoza services llc,5,10,625 S West St,Pampa,Texas,US,,(806) 662-6698,Lawn sprinkler system contractor,https://www.google.com/maps/search/?api=1&query=Mendoza%20services%20llc&query_place_id=ChIJL3-EmlFHEyQRTBb_2dkB7BE,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Lawnscapers,,0,309 Benedict St,White Deer,Texas,US,,(806) 282-5538,Lawn care service,https://www.google.com/maps/search/?api=1&query=Lawnscapers&query_place_id=ChIJC8-IpLYtB4cRhHx7OYHzgT0,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Neoclassic Landscaping Amarillo,5,59,4301 SW 45th Ave,Amarillo,Texas,US,https://www.landscapingamarillotx.com/,(806) 878-9486,Landscaper,https://www.google.com/maps/search/?api=1&query=Neoclassic%20Landscaping%20Amarillo&query_place_id=ChIJZaFWGsQHK4cRiVusMPz2gFw,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Sears Appliance Repair,5,2,700 Tennessee Ave,Dalhart,Texas,US,https://www.searshomeservices.com/locations/tx/dalhart/sears-appliance-repair/700-tennessee-blvd,(806) 417-0515,Appliance repair service,https://www.google.com/maps/search/?api=1&query=Sears%20Appliance%20Repair&query_place_id=ChIJkSSoPGS3BYcRJiUYR4-OT1k,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Affordable Landscaping & Lawn Service,4.5,13,9524 Seymour Hwy,Wichita Falls,Texas,US,https://www.facebook.com/affordablelandscaping24/,(940) 631-8968,Tree service,https://www.google.com/maps/search/?api=1&query=Affordable%20Landscaping%20%26%20Lawn%20Service&query_place_id=ChIJGaQZbS0gU4YRwyj6UXNoUp0,No,No,0,,error_400,,skipped_not_accessible,,,,,,,
Advanced Auto Repair,4.9,53,401 E 2nd St,Dalhart,Texas,US,,(806) 717-9102,Auto repair shop,https://www.google.com/maps/search/?api=1&query=Advanced%20Auto%20Repair&query_place_id=ChIJS7HbYSa3BYcR0x0AHzWf7Z8,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Bob's Towing,4.9,152,,,,,,(806) 333-6639,Towing service,https://www.google.com/maps/search/?api=1&query=Bob's%20Towing&query_place_id=ChIJFzvSjpi2BYcR1X9L45CUdsw,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Ortega's Lawn Care Service,4.6,11,8304 Foxtail St,Amarillo,Texas,US,,(806) 341-0004,Lawn care service,https://www.google.com/maps/search/?api=1&query=Ortega's%20Lawn%20Care%20Service&query_place_id=ChIJpwy3iShFAYcRFRD6C6-qwUk,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Rush Truck Centers - Dalhart,4,67,1117 US-87,Dalhart,Texas,US,https://www.rushtruckcenters.com/locations/10270000-dalhart?utm_source=google&utm_medium=organic&utm_campaign=gmb-dalhart-main,(806) 884-2100,Truck repair shop,https://www.google.com/maps/search/?api=1&query=Rush%20Truck%20Centers%20-%20Dalhart&query_place_id=ChIJk5hGDse2BYcR-D0KdvjTR-Y,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Your Last Call Irrigation and Landscape,5,49,,,,,https://yourlastcallirrigationandlandscape.com/,(806) 621-8410,Landscaper,https://www.google.com/maps/search/?api=1&query=Your%20Last%20Call%20Irrigation%20and%20Landscape&query_place_id=ChIJy8hYpzJbAYcRWmS_HtTj7jA,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
"Legends Quality and Affordable Lawn Care Services, LLC",3.8,42,3418 Lewis Ln,Amarillo,Texas,US,,(806) 290-4062,Lawn care service,https://www.google.com/maps/search/?api=1&query=Legends%20Quality%20and%20Affordable%20Lawn%20Care%20Services%2C%20LLC&query_place_id=ChIJkQWQq79PAYcROKb7KEoTigU,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
TruGreen Lawn Care,4.5,255,12585 Coulter St S,Amarillo,Texas,US,https://www.trugreen.com/local-lawn-care/texas/amarillo,(833) 418-5004,Lawn care service,https://www.google.com/maps/search/?api=1&query=TruGreen%20Lawn%20Care&query_place_id=ChIJE8MPIOtbAYcRqWiABXoK6kE,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Amarillo Grass Masters,4.2,38,8501 SW 81st Ave suite c,Amarillo,Texas,US,,(806) 231-5143,Lawn care service,https://www.google.com/maps/search/?api=1&query=Amarillo%20Grass%20Masters&query_place_id=ChIJ04D__StbAYcREw954GCbDk4,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Snapp's Home & Lawn,4.2,11,,Amarillo,Texas,US,,(806) 584-3542,Lawn care service,https://www.google.com/maps/search/?api=1&query=Snapp's%20Home%20%26%20Lawn&query_place_id=ChIJVVVVVdFRAYcRTbaqi1O9QyI,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Blake's Lawn Care,4.2,5,5110 Temple Dr,Amarillo,Texas,US,https://blakeclawnservice.firebaseapp.com/,(806) 236-1952,Lawn care service,https://www.google.com/maps/search/?api=1&query=Blake's%20Lawn%20Care&query_place_id=ChIJhajPn_ZFAYcRACAeVn0XJ-I,No,Yes,0,,dynamic,,skipped_not_accessible,,,,,,,
