city,country,country_code,email,facebook,google_business_categories,google_maps_url,instagram,linkedin,name,opening_date,phone_number,review_score,reviews_number,source_run_id,source_type,street,url
Chelsea Heights VIC 3196,,AU,vitogiarratana@bigpond.com,NA,hvac_contractor,https://www.google.com/maps?cid=13602359150180023297,NA,NA,V&G Refrigeration Services Pty Ltd,,+61 3 9776 1375,5,36,f5hcgdr4Pr14BUpaP,manual_run,Factory 5/271 Wells Rd,http://vgrefrigeration.com.au/
Box Hill North VIC 3129,,AU,info@cortrols.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=18087004093414521196,NA,NA,Cortrols Temperature Systems,,+61 3 9890 8544,5,5,f5hcgdr4Pr14BUpaP,manual_run,Factory 8/58 Lexton Rd,http://cortrols.com.au/
Coolaroo VIC 3048,,AU,info@ecoassetsmanager.com.au,,hvac_contractor,https://www.google.com/maps?cid=6135234702827402106,,,ECO ASSETS MANAGER,,+61 3 9939 3036,,,f5hcgdr4Pr14BUpaP,manual_run,36 Zakwell Ct,https://www.ecoassetsmanager.com.au/
Regency Park SA 5010,,AU,info@ttrefrig.net.au,NA,hvac_contractor,https://www.google.com/maps?cid=10994886328369881140,NA,NA,Tri Tech Refrigeration SA,,+61 8 8243 0931,,,f5hcgdr4Pr14BUpaP,manual_run,U14/10-12 Opala St,http://ttrefrig.com.au/
Milperra NSW 2214,,AU,service@linkmechanical.com.au,,hvac_contractor,https://www.google.com/maps?cid=15334997017908532314,,,Link Mechanical Solutions Pty Ltd,,+61 1300 681 747,,,f5hcgdr4Pr14BUpaP,manual_run,2/211 Beaconsfield St,https://www.linkmechanical.com.au/
Ingleburn NSW 2565,,AU,acsalesonline@aircond-dc.com,https://www.facebook.com/messages/t/111255121638424,hvac_contractor,https://www.google.com/maps?cid=3654940071553438579,NA,NA,Aircond Design & Construct Pty Ltd,,+61 2 8712 2725,4.9,12,f5hcgdr4Pr14BUpaP,manual_run,6/79 Williamson Rd,https://livinggreenstar.com.au/
Yatala QLD 4207,,AU,mike@coolingtowersolutions.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6580164388407232907,NA,NA,Cooling Tower Solutions,,+61 419 000 736,,,f5hcgdr4Pr14BUpaP,manual_run,1/26 Octal St,http://www.coolingtowersolutions.com.au/
Clyde North VIC 3978,,AU,info@hipages.com.au,https://www.facebook.com/hipages,hvac_contractor,https://www.google.com/maps?cid=18007393117222426329,https://instagram.com/hipages/,https://www.linkedin.com/company/hipages-group,mvs heating & cooling,,+61 1300 041 765,,,f5hcgdr4Pr14BUpaP,manual_run,13 Landrace Way,http://mvsheatingandcooling.com.au/
Gladesville NSW 2111,,AU,frontdesk@accessengineering.systems,https://www.facebook.com/accessgroupsolutions/,hvac_contractor,https://www.google.com/maps?cid=704055205190880117,NA,https://www.linkedin.com/company/access-group-solutions/,ACCESS ENGINEERING SYSTEMS,,+61 1300 366 707,3,2,f5hcgdr4Pr14BUpaP,manual_run,129 Victoria Rd,http://accessengineering.systems/
Kilsyth South VIC 3137,,AU,janita@sonflow.com.au,https://www.facebook.com/SonFlowPumpsPHE,hvac_contractor,https://www.google.com/maps?cid=941328640646191549,NA,https://www.linkedin.com/company/sonflow-a-s,SonFlow Australia Pty Ltd,,+61 3 9754 2852,3,2,f5hcgdr4Pr14BUpaP,manual_run,Unit 9/1-3 Eastspur Ct,http://sonflow.com.au/
Canning Vale WA 6155,,AU,sales@airventswa.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6917393027829997864,NA,NA,Airvents WA,,+61 8 9467 5977,5,1,f5hcgdr4Pr14BUpaP,manual_run,2/19 Meares Way,http://www.airventswa.com.au/
Fyshwick ACT 2609,,AU,damon.bird@ghd.com,https://www.facebook.com/pages/Control-Electric-Pty-Ltd/687166354701416?ref_type=bookmark,hvac_contractor,https://www.google.com/maps?cid=6426004198182219871,NA,NA,Control & Electric,,+61 2 6299 6233,3.8,4,f5hcgdr4Pr14BUpaP,manual_run,Unit 16/105 Newcastle St,http://www.controlandelectric.com.au/
Patterson Lakes VIC 3197,,AU,aceairconditioningvic@hotmail.com,NA,hvac_contractor,https://www.google.com/maps?cid=13891159703090645112,NA,NA,Ace Airconditioning (VIC),,+61 413 006 227,5,2,f5hcgdr4Pr14BUpaP,manual_run,Unit 3/2 Nanda Ct,https://www.aceairconditioningvic.com.au/
Narrabundah ACT 2604,,AU,info@optimumair.com.au,,hvac_contractor,https://www.google.com/maps?cid=3755736696922048662,,,OptimumAir Pty Ltd,,+61 481 322 324,5,9,f5hcgdr4Pr14BUpaP,manual_run,174 Captain Cook Cres,https://www.optimumair.com.au/
Revesby NSW 2212,,AU,info@rheemthermal.com.au,,hvac_contractor,https://www.google.com/maps?cid=4254744587214369567,,,Accent Air,,+61 2 9684 3684,4.9,11,f5hcgdr4Pr14BUpaP,manual_run,43 Marigold St,http://rheemthermal.com.au/
Richmond NSW 2753,,AU,laurie@micro-air.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=9979678703644476177,NA,NA,Micro-air Pty Ltd,,+61 1300 464 276,,,f5hcgdr4Pr14BUpaP,manual_run,16 Hobart St,http://www.micro-air.com.au/
Oakleigh South VIC 3167,,AU,info@airkorp.com.au,https://www.facebook.com/airkorpaustralia/,hvac_contractor,https://www.google.com/maps?cid=5153143233487557597,NA,https://www.linkedin.com/company/airkorp-australia-pty-ltd/,Airkorp Australia Pty Ltd,,+61 1300 247 567,5,1,f5hcgdr4Pr14BUpaP,manual_run,18A Manton Rd,http://www.airkorp.com.au/
Kunda Park QLD 4556,,AU,service@airboar.com.au,,hvac_contractor,https://www.google.com/maps?cid=5564956992342580518,,,Air Boar,,+61 1300 112 627,,,f5hcgdr4Pr14BUpaP,manual_run,Unit 1/35 Enterprise St,http://airboar.com.au/
Nerang QLD 4211,,AU,enquiries@agileequipmenthire.com.au,https://www.facebook.com/AgileEquipmentHire,hvac_contractor,https://www.google.com/maps?cid=14129492450697675166,,https://www.linkedin.com/company/agile-equipment-hire,Air Conditioner Hire Gold Coast,,+61 7 5554 8519,,,f5hcgdr4Pr14BUpaP,manual_run,Unit 1125/4 Lawrence Dr,http://airconditionerhire.com.au/
Cranbourne West VIC 3977,,AU,info@geothermalindustries.com.au,https://www.facebook.com/geothermalindustries,hvac_contractor,https://www.google.com/maps?cid=4151114314049566893,https://www.instagram.com/geothermal_industries/,https://www.linkedin.com/company/geothermal-industries,Geothermal Industries Australia Pty Ltd,,+61 3 8899 7890,,,f5hcgdr4Pr14BUpaP,manual_run,Unit 1/15-17 Paramount Blvd,http://geothermalindustries.com.au/
